miRNA	miRBase	small melocule	FDA	DB	CID	Detection method 	Species	Condition	PMID	Year	Reference	Support	Expression pattern of miRNA	
let-7b*	MIMAT0004621	Quercetin	NULL	DB04216	5280343	Microarray	Mus musculus	apoE?/? mice	22253797	2012	Modulation of miRNA expression by dietary polyphenols in apoE deficient mice: a new mechanism of the action of polyphenols	Moreover, changes in miRNA expression were observed after polyphenol supplementation, and five miRNAs (mmu-miR-291b-5p, mmu-miR-296-5p, mmu-miR-30c-1*, mmu-miR-467b* and mmu-miR-374*) were identified as being commonly modulated by these polyphenols	up-regulated	
let-7b*	MIMAT0004621	(S)-3,5-dihydroxyphenylglycine (DHPG) 	NULL	NULL	443586	Quantitative real-time PCR	Mus musculus	mouse brain	22309833	2012	Effect of (S)-3,5-DHPG on microRNA expression in mouse brain.	We then examined the expression of microRNAs in the cerebral Table 3 lists the signi?cantly regulated microRNAs detected at 4, 8 and 24 h after DHPG treatment in the qPCR arrays and their corresponding ??Ct values and fold changes.	up-regulated	
let-7c	MIMAT0000064	Hydroxamic acid HDACi LAQ824	NULL	NULL	NULL	Microarray	Homo sapiens 	breast cancer cell line SKBr3	16452179	2006	Rapid alteration of microRNA levels by histone deacetylase inhibition.	As shown in the Fig. 1B heat map, following LAQ824 treatment, the expression level of many SKBr3 miRNAs were altered with 22 miRNAs down-regulated and 5 miRNAs up-regulated.	down-regulated	
let-7c	MIMAT0000064	Gemcitabine	approved	DB00441	60750	Northern blot	Homo sapiens 	Mz-ChA-1 human cholangiocarcinoma cell lines  	16762633	2006	Involvement of human micro-RNA in growth and response to chemotherapy in human cholangiocarcinoma cell lines.	Gemcitabine  treatment  resulted  in  a  greater  than 2-fold increase in the expression of a group of miRNA that included miR-202, miR-320, miR-374, miR-1-2,miR-16-1,  miR-24-1, let7f-2,  let7a-1,  and  miR-374(Table 3). 	up-regulated	
let-7c	MIMAT0000064	All-trans-retinoic acid (ATRA)	approved	DB00755	444795	Microarray	Homo sapiens 	acute promyelocytic leukemia	17260024	2008	MicroRNA gene expression during retinoic acid-induced differentiation of human acute promyelocytic leukemia.	We found upregulation of miR-15a, miR-15b, miR-16-1, let-7a-3, let-7c, let-7d, miR-223, miR-342 and miR-107, whereas miR-181b was downregulated. 	up-regulated	
let-7c	MIMAT0000064	Trichostatin A (TSA)	NULL	NULL	444732	Microarray	Homo sapiens 	human pancreatic cancer cell line BxPC-3	19112422	2009	Effect of trichostatin a on viability and microRNA expression in human pancreatic cancer cell line BxPC-3.	In our experiment, using miRNA microarray analysis,we found that 6 h treatment of cells with TSA inducedaltered expression of miRNAs: 29 miRNAs includingmiR-21, -181b, -181d, -221, -126, -375, let-7a, and let-7cwere significantly down-regulated and miR-200c, -100,-34a, -146a, and -146b were up-regulated. 	down-regulated	
let-7c	MIMAT0000064	17beta-estradiol (E2)	approved	DB00783	5757	Microarray	Homo sapiens 	MCF-7 breast cancer cells	19528081	2009	Estradiol-regulated microRNAs control estradiol response in breast cancer cells.	To investigate this possibility, we determined microRNA-expression patterns in MCF-7p and MCF-7AKT cells with and without E2 treatment for 4 h. We observed 21 E2-inducible and 7 E2-repressible microRNAs in MCF-7p cells (statistical cutoff P-value <0.05 and fold change >1.5 or <0.7) (Table 1).	up-regulated	
let-7c	MIMAT0000064	All-trans-retinoic acid (ATRA)	approved	DB00755	444795	Quantitative real-time PCR	Homo sapiens 	acute promyelocytic leukemia (APL)	19749800	2009	A restricted signature of miRNAs distinguishes APL blasts from normal promyelocytes.	Patients successfully treated with all-trans-retinoic acid (ATRA) and chemotherapy showed downregulation of miR-181b and upregulation of miR-15b, -16, -107, -223, -342 and let-7c.	up-regulated	
let-7c	MIMAT0000064	Activin A	NULL	NULL	229455	Quantitative real-time PCR	Homo sapiens 	Human embryonic stem (hES) cells	19885849	2010	Identification of microRNAs regulated by activin A in human embryonic stem cells.	In T3BA cells, four hES cell-specific microRNAs miR-372, miR-302d, miR-367, and miR-200c, as well as three other microRNAs miR-199a, miR-19a, and miR-217, were found to be up-regulated, whereas five miRNAs miR-19b, miR-221, miR-222, let-7b, and let-7c were down-regulated by activin A.	down-regulated	
let-7c	MIMAT0000064	Bio-Oss	NULL	NULL	NULL	Microarray	Homo sapiens 	osteoblast-like cell line (MG63)	20224834	2010	Anorganic bovine bone (Bio-Oss) regulates miRNA of osteoblast-like cells.	In this study, the miRNA microarray technique was used to investigate translation regulation in an osteoblast-like cell line (MG63) exposed to Bio-Oss. Nine up-regulated miRNAs (mir-423, mir-492, mir-191, mir-23a, mir-377, mir-494, mir-214, mir-193b, mir-320) and 4 down-regulated miRNAs (mir-27a, mir-24, mir-188, let-7c) were identified. 	down-regulated	
let-7c	MIMAT0000064	Formaldehyde	NULL	DB03843	712	Microarray	Homo sapiens 	Human lung epithelial cells (A549)	21147603	2011	Epigenetic changes induced by air toxics formaldehyde exposure alters miRNA expression profiles in human lung cells.	"A total of 89 miRNAs showed a significant decrease in expression in the formaldehyde-exposed lung samples compared with control samples [Figure 1; see also Supplemental Material, Table 1 (doi:10.1289/ehp.1002614)]."	down-regulated	
let-7c	MIMAT0000064	Ginsenoside Rh2	NULL	NULL	119307	Microarray	Homo sapiens 	human glioma cells U251	21372826	2011	Ginsenoside Rh2 inhibits glioma cell proliferation by targeting microRNA-128.	Table 1 summarizes the results of Rh2-regulated miRNAs and their chromosomal locations are summarized.Of the 452 human miRNAs tested the microarray, 14 miRNAs were up-regulated and 12 miRNAs were down-regulated in the Rh2-treated U251 cells. 	up-regulated	
let-7c	MIMAT0000064	CDF(analogues of curcumin)	NULL	NULL	NULL	Quantitative real-time PCR	Homo sapiens 	pancreatic cancer cells	22108826	2012	Curcumin analogue CDF inhibits pancreatic tumor growth by switching on suppressor microRNAs and attenuating EZH4 expression.	These effects were associated with decreased expression of EZH2 and increased expression of a panel of tumor-suppressive microRNAs (miRNA), including let-7a, b, c, d, miR-26a, miR-101, miR-146a, andmiR-202b, c that are typically lost in pancreatic cancer	up-regulated	
let-7c	MIMAT0000064	Marine fungal metabolite 1386A	NULL	NULL	NULL	Microarray	Homo sapiens 	MCF-7 breast cancer cells.	22159329	2012	Marine fungal metabolite 1386A alters the microRNA profile in MCF-7 breast cancer cells.	1386A treatment significantly altered the miRNA expression profile in MCF-7 cells. miRNA microarray analysis identified 45 miRNAs which showed significant dysregulation between the 1386A-treated and control samples (Table I). 	down-regulated	
let-7c	MIMAT0000064	Metformin	approved	DB00331	4091	Quantitative real-time PCR	Homo sapiens 	Pancreatic Neoplasms	22245693	2012	Metformin alters the expression profiles of microRNAs in human pancreatic cancer cells.	Metformin up-regulated the expression of miR-26a, miR-192 and let-7c in a dose-dependent manner. 	up-regulated	
let-7c	MIMAT0000064	17beta-estradiol (E2)	approved	DB00783	5757	Microarray	Homo sapiens 	MCF-7 breast cancer cell line	22403704	2012	Endocrine disruptor regulation of microRNA expression in breast carcinoma cells.	Several members of the let-7 family (let-7a, let-7b, let-7c, let-7d, let-7e and let-7f), were downregulated (p<0.05) by all three treatments, consistent with published data in human breast cancer cells [36], and miR-15b (p<0.005) and miR-27b (p<0.01) were also downregulated by the three treatments (Table 2). In addition, upregulation of miR-638 (P<0.005), miR-663 (P<0.005), and miR-1915 (P<0.005) was observed after treatment of MCF7 cells with E2, BPA or DDT (Table 2).	down-regulated	
let-7c	MIMAT0000064	Bisphenol A	NULL	NULL	6623	Microarray	Homo sapiens 	MCF-7 breast cancer cell line	22403704	2012	Endocrine disruptor regulation of microRNA expression in breast carcinoma cells.	Several members of the let-7 family (let-7a, let-7b, let-7c, let-7d, let-7e and let-7f), were downregulated (p<0.05) by all three treatments, consistent with published data in human breast cancer cells [36], and miR-15b (p<0.005) and miR-27b (p<0.01) were also downregulated by the three treatments (Table 2). In addition, upregulation of miR-638 (P<0.005), miR-663 (P<0.005), and miR-1915 (P<0.005) was observed after treatment of MCF7 cells with E2, BPA or DDT (Table 2).	down-regulated	
let-7c	MIMAT0000064	1,2,6-Tri-O-galloyl-beta-D-glucopyranose 	NULL	NULL	NULL	Microarray	Homo sapiens 	HepG2 hepatocarcinoma cells.	22506400	2011	[A new natural polyphenol BJA32531 inhibited the proliferation and regulated miRNA expression in human HepG2 hepatocarcinoma cells].	Cellular exposure to BJA32531 influenced the miRNA expression pattern in the cells, including 19 upregulated and 85 down-regulated miRNAs in the cells. The up-regulations of let-7a and miR-10b as well as the down-regulations of miR-132 and miR-125b were verified to be consistent with the the results of the miRNA array.	down-regulated	
let-7c	MIMAT0000523	Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX)	NULL	NULL	8490	Microarray	Mus musculus 	mouse liver 	19270793	2009	RDX Induces Aberrant Expression of MicroRNAs in Mouse Brain and Liver	RDX exposure significantly affected the expression of 56 miRNAs in mouse liver (Table 2, Figures 3,4B).	down-regulated	
let-7c	MIMAT0000523	Phenethyl isothiocyanate(PEITC)	NULL	NULL	16741	Microarray	Mus musculus 	neonatal mice lung	20145010	2010	Modulation of microRNA expression by budesonide, phenethyl isothiocyanate and cigarette smoke in mouse liver and lung.	In particular, as shown in Table I and inferred from Venn diagrams and volcano-plot analyses (data not shown), several miRNAs were altered in their expression.	up-regulated	
let-7c	MIMAT0000776	Lithium (Li)	approved	DB01356	3028194	Microarray	Rattus norvegicus 	rat hippocampus	18704095	2009	Evidence for selective microRNAs and their effectors as common long-term targets for the actions of mood stabilizers.	Among these potential lithium- and VPA-regulated miRNAs, nine were regulated by both lithium and VPA in a similar manner (Table 1).	down-regulated	
let-7c	MIMAT0000776	Lithium (Li)	approved	DB01356	3028194	Quantitative real-time PCR	Rattus norvegicus 	rat hippocampus	18704095	2009	Evidence for selective microRNAs and their effectors as common long-term targets for the actions of mood stabilizers.	Among these potential lithium- and VPA-regulated miRNAs, nine were regulated by both lithium and VPA in a similar manner (Table 1).	down-regulated	
let-7c	MIMAT0000776	Valproate	approved	DB00313	3121	Microarray	Rattus norvegicus 	rat hippocampus	18704095	2009	Evidence for selective microRNAs and their effectors as common long-term targets for the actions of mood stabilizers.	Among these potential lithium- and VPA-regulated miRNAs, nine were regulated by both lithium and VPA in a similar manner (Table 1).	down-regulated	
let-7c	MIMAT0000776	Valproate	approved	DB00313	3121	Quantitative real-time PCR	Rattus norvegicus 	rat hippocampus	18704095	2009	Evidence for selective microRNAs and their effectors as common long-term targets for the actions of mood stabilizers.	Among these potential lithium- and VPA-regulated miRNAs, nine were regulated by both lithium and VPA in a similar manner (Table 1).	down-regulated	
let-7c	MIMAT0000776	Dexamethasone	approved	DB01234	5743	Microarray	Rattus norvegicus 	primary rat thymocytes	20847043	2010	Glucocorticoids modulate microRNA expression and processing during lymphocyte apoptosis.	Of the 350 microRNAs represented on our chip, 56 were differentially expressed in response to glucocorticoid-induced apoptosis (Fig. 2A). Surprisingly, the majority of these microRNAs (79% or 44 microRNAs) were repressed, and only 12 low abundance microRNAs were weakly induced during this time frame. 	down-regulated	
let-7c	MIMAT0000776	Isoproterenol	approved	DB01064	3779	Quantitative real-time PCR	Rattus norvegicus 	heart	22847192	2012	Beta-adrenoceptor regulates miRNA expression in rat heart.	The recognized anti-hypertrophic miRNAs miR-1, miR-21 and miR-27b, and the pro-hypertrophic miRNAs miR-22, miR-24, miR-199a, miR-212 and miR-214, were upregulated in the ISO group. In the PRO group, pro-hypertrophic miRNA miR-30c was upregulated, whereas miR-212 was downregulated.	down-regulated	
let-7c	MIMAT0001761	Perfluorooctane sulfonate 	NULL	NULL	74483	Microarray	Danio rerio 	zebrafish embryos	20878907	2011	MicroRNA expression changes during zebrafish development induced by perfluorooctane sulfonate.	Among the detectedmiRNAs, 39 and 81 miRNAs were differentially expressed at 24 and 120 hpf respectively (Fig. 2, Table S1, see Supporting Information).	up-regulated	
let-7c-2*	MIMAT0005439	Proanthocyanin	NULL	NULL	108065	Microarray	Mus musculus	apoE?/? mice	22253797	2012	Modulation of miRNA expression by dietary polyphenols in apoE deficient mice: a new mechanism of the action of polyphenols	Moreover, changes in miRNA expression were observed after polyphenol supplementation, and five miRNAs (mmu-miR-291b-5p, mmu-miR-296-5p, mmu-miR-30c-1*, mmu-miR-467b* and mmu-miR-374*) were identified as being commonly modulated by these polyphenols	down-regulated	
let-7d	MIMAT0000065	Benzene	NULL	NULL	241	MiRNA PCR array	Homo sapiens	white blood cell	24780745	2014	Aberrant miRNA profiles associated with chronic benzene poisoning.	Totally, 6 up-regulated miRNAs (miR-34a, miR-205, miR-10b, let-7d, miR-185 and miR-423-5p-2) and 7 down-regulated miRNAs (miR-133a, miR-543, hsa-miR-130a, miR-27b,miR-223, miR-142-5p and miR-320b) were found in chronic benzene poisoning group compared to health controls (P ? 0.05). 	up-regulated	
let-7d	MIMAT0000065	Benzene	NULL	NULL	241	MiRNA PCR array	Homo sapiens	blood mononuclear cells	24780745	2014	Aberrant miRNA profiles associated with chronic benzene poisoning	11 up-regulated miRNAs (miR-34a, miR-205, miR-10b, let-7d, miR-185 and miR-423-5p-2)	up-regulated	
let-7d	MIMAT0000065	Hydroxamic acid HDACi LAQ824	NULL	NULL	NULL	Microarray	Homo sapiens 	breast cancer cell line SKBr3	16452179	2006	Rapid alteration of microRNA levels by histone deacetylase inhibition.	As shown in the Fig. 1B heat map, following LAQ824 treatment, the expression level of many SKBr3 miRNAs were altered with 22 miRNAs down-regulated and 5 miRNAs up-regulated.	down-regulated	
